datetime,temp,feelslike,humidity,windspeed
2020-01-01,15.2,15.2,48.9,12.0
2020-01-02,14.8,14.8,69.6,11.1
2020-01-03,16.2,16.2,53.0,8.1
2020-01-04,14.7,14.7,63.6,6.6
2020-01-05,14.5,14.5,59.1,8.6
2020-01-06,17.1,17.1,34.9,7.4
2020-01-07,17.6,17.6,32.3,7.8
2020-01-08,14.3,14.3,68.1,9.8
2020-01-09,14.0,14.0,58.3,12.7
2020-01-10,13.3,13.3,61.2,10.0
2020-01-11,12.8,12.8,67.3,7.8
2020-01-12,13.5,13.5,65.3,12.8
2020-01-13,13.5,13.5,66.7,8.4
2020-01-14,12.9,12.9,68.4,8.4
2020-01-15,13.0,13.0,67.6,7.9
2020-01-16,13.1,13.1,68.5,8.5
2020-01-17,13.0,13.0,70.1,10.0
2020-01-18,15.5,15.5,40.7,8.1
2020-01-19,17.2,17.2,34.2,11.4
2020-01-20,15.8,15.8,64.4,8.7
2020-01-21,15.2,15.2,71.0,13.2
2020-01-22,14.5,14.5,68.9,6.0
2020-01-23,16.5,16.5,64.0,13.2
2020-01-24,16.4,16.4,63.4,8.3
2020-01-25,15.1,15.1,75.6,9.7
2020-01-26,15.0,15.0,73.0,8.0
2020-01-27,16.5,16.5,58.8,10.4
2020-01-28,18.3,18.3,34.8,15.0
2020-01-29,19.7,19.7,23.9,14.8
2020-01-30,17.3,17.3,28.8,9.8
2020-01-31,18.5,18.4,36.7,9.5
2020-02-01,20.3,20.1,33.3,12.6
2020-02-02,16.9,16.9,51.6,10.4
2020-02-03,13.5,13.5,19.8,23.7
2020-02-04,11.2,11.2,22.5,7.9
2020-02-05,12.2,12.1,28.5,14.0
2020-02-06,13.4,13.4,47.9,14.2
2020-02-07,14.1,14.1,59.5,9.3
2020-02-08,14.5,14.5,67.8,12.3
2020-02-09,14.4,14.4,64.9,16.1
2020-02-10,17.8,17.8,34.0,14.5
2020-02-11,16.9,16.9,42.0,20.3
2020-02-12,15.0,15.0,53.1,12.8
2020-02-13,15.0,15.0,59.4,10.6
2020-02-14,14.8,14.8,63.7,8.9
2020-02-15,14.8,14.8,65.5,13.3
2020-02-16,15.3,15.3,68.1,10.3
2020-02-17,15.2,15.2,69.7,10.0
2020-02-18,16.3,16.3,71.6,8.4
2020-02-19,17.1,17.1,65.3,9.9
2020-02-20,18.1,18.0,55.9,8.2
2020-02-21,19.2,19.2,46.7,9.7
2020-02-22,16.4,16.4,63.4,12.4
2020-02-23,15.7,15.7,64.5,14.2
2020-02-24,15.8,15.8,67.4,6.8
2020-02-25,19.5,19.3,45.1,10.5
2020-02-26,19.2,19.2,25.6,9.2
2020-02-27,21.9,21.5,22.6,7.7
2020-02-28,23.2,22.7,22.5,10.2
2020-02-29,18.0,18.0,60.9,11.3
2020-03-01,14.8,14.8,58.6,14.5
2020-03-02,17.3,17.3,38.4,14.0
2020-03-03,19.8,19.8,28.7,20.7
2020-03-04,17.1,17.1,67.4,12.6
2020-03-05,17.7,17.7,66.1,10.7
2020-03-06,16.2,16.2,72.0,13.9
2020-03-07,15.3,15.3,63.1,21.5
2020-03-08,15.0,15.0,63.2,9.9
2020-03-09,17.1,17.1,48.3,16.6
2020-03-10,17.3,17.3,76.5,18.3
2020-03-11,18.5,18.5,68.5,14.8
2020-03-12,14.6,14.6,79.5,11.0
2020-03-13,13.8,13.8,81.9,7.0
2020-03-14,14.4,14.4,79.6,16.6
2020-03-15,15.1,15.1,64.0,11.4
2020-03-16,14.6,14.6,65.3,15.5
2020-03-17,12.3,12.2,62.8,11.4
2020-03-18,13.1,13.1,54.4,16.3
2020-03-19,13.8,13.8,61.5,19.6
2020-03-20,15.3,15.3,62.1,9.9
2020-03-21,16.1,16.1,62.9,13.8
2020-03-22,15.8,15.8,66.1,9.6
2020-03-23,15.9,15.9,68.2,21.3
2020-03-24,14.6,14.6,66.1,13.7
2020-03-25,15.5,15.5,54.9,16.0
2020-03-26,13.4,13.4,47.3,27.6
2020-03-27,14.6,14.6,43.7,15.4
2020-03-28,15.3,15.3,54.6,11.8
2020-03-29,15.4,15.4,61.8,19.8
2020-03-30,16.8,16.8,59.2,14.0
2020-03-31,18.6,18.6,55.1,12.0
2020-04-01,18.4,18.4,65.7,18.1
2020-04-02,18.0,18.0,59.6,20.1
2020-04-03,17.1,17.1,60.9,10.7
2020-04-04,16.7,16.7,62.7,14.0
2020-04-05,16.0,16.0,64.5,10.7
2020-04-06,15.0,15.0,72.8,13.4
2020-04-07,14.6,14.6,68.0,10.0
2020-04-08,13.6,13.6,65.4,15.5
2020-04-09,12.1,12.1,75.4,14.1
2020-04-10,13.8,13.8,66.4,14.8
2020-04-11,16.4,16.4,64.0,11.9
2020-04-12,16.0,16.0,71.4,7.9
2020-04-13,16.1,16.1,70.6,20.1
2020-04-14,17.0,17.0,67.0,17.1
2020-04-15,20.5,20.3,39.4,14.5
2020-04-16,18.3,18.3,61.1,20.5
2020-04-17,16.9,16.9,63.0,10.9
2020-04-18,17.3,17.3,62.6,20.1
2020-04-19,17.4,17.4,59.7,16.7
2020-04-20,17.2,17.2,64.6,16.7
2020-04-21,18.4,18.4,61.1,15.3
2020-04-22,21.6,21.5,50.5,16.3
2020-04-23,24.1,23.9,51.1,12.0
2020-04-24,26.7,26.0,43.2,10.1
2020-04-25,25.3,25.0,50.2,11.4
2020-04-26,22.8,22.7,57.8,10.6
2020-04-27,21.8,21.8,61.8,12.7
2020-04-28,21.7,21.7,64.5,18.9
2020-04-29,19.9,19.9,71.7,15.7
2020-04-30,19.8,19.8,71.3,16.6
2020-05-01,20.6,20.6,61.7,17.4
2020-05-02,20.9,20.9,60.2,17.2
2020-05-03,20.2,20.2,62.1,15.0
2020-05-04,21.5,21.5,59.0,14.0
2020-05-05,24.3,23.8,47.1,12.3
2020-05-06,25.7,25.0,40.6,12.2
2020-05-07,25.7,25.2,44.4,19.1
2020-05-08,23.1,23.1,62.4,16.4
2020-05-09,21.1,21.1,67.9,15.4
2020-05-10,19.4,19.4,70.0,12.7
2020-05-11,19.5,19.5,62.9,14.5
2020-05-12,18.9,18.9,61.2,15.1
2020-05-13,19.3,19.3,56.4,22.9
2020-05-14,20.5,20.5,56.8,18.0
2020-05-15,21.4,21.4,58.1,12.5
2020-05-16,22.0,22.0,54.4,12.5
2020-05-17,21.4,21.4,61.1,24.7
2020-05-18,19.7,19.7,67.1,22.1
2020-05-19,18.3,18.3,57.2,28.1
2020-05-20,19.3,19.3,56.9,18.5
2020-05-21,20.7,20.7,53.7,20.5
2020-05-22,19.8,19.8,64.8,18.7
2020-05-23,19.3,19.3,60.7,19.3
2020-05-24,19.1,19.1,68.2,23.3
2020-05-25,19.9,19.9,67.0,10.3
2020-05-26,20.0,20.0,70.0,15.5
2020-05-27,19.3,19.3,72.9,21.3
2020-05-28,19.3,19.3,72.0,12.7
2020-05-29,18.8,18.8,73.4,10.7
2020-05-30,19.1,19.1,67.1,21.1
2020-05-31,19.1,19.1,68.0,12.9
2020-06-01,21.5,21.5,58.7,15.5
2020-06-02,21.4,21.4,60.0,8.7
2020-06-03,23.3,23.2,56.3,12.1
2020-06-04,20.9,20.9,68.4,15.4
2020-06-05,19.7,19.7,64.5,14.9
2020-06-06,19.3,19.3,66.6,13.2
2020-06-07,20.6,20.6,52.3,21.5
2020-06-08,24.8,24.1,17.5,15.4
2020-06-09,27.5,26.3,15.0,20.4
2020-06-10,27.7,26.6,21.0,14.2
2020-06-11,24.0,23.6,49.7,10.6
2020-06-12,20.0,20.0,66.7,18.7
2020-06-13,19.9,19.9,61.8,25.2
2020-06-14,20.6,20.6,59.9,12.4
2020-06-15,20.6,20.6,67.5,10.7
2020-06-16,19.9,19.9,68.0,15.2
2020-06-17,20.7,20.7,64.4,10.4
2020-06-18,19.2,19.2,68.8,18.1
2020-06-19,19.8,19.8,67.4,15.7
2020-06-20,19.0,19.0,71.8,11.5
2020-06-21,20.0,20.0,68.0,13.6
2020-06-22,20.5,20.5,70.8,13.4
2020-06-23,20.3,20.3,74.2,12.4
2020-06-24,19.7,19.7,73.6,14.2
2020-06-25,20.2,20.2,70.7,17.2
2020-06-26,19.9,19.9,71.8,13.8
2020-06-27,20.0,20.0,71.9,10.7
2020-06-28,19.9,19.9,70.4,10.6
2020-06-29,19.9,19.9,65.6,13.3
2020-06-30,19.5,19.5,67.6,23.3
2020-07-01,20.0,20.0,67.8,10.4
2020-07-02,20.6,20.6,65.7,11.7
2020-07-03,21.4,21.4,65.5,20.9
2020-07-04,22.4,22.5,62.1,15.7
2020-07-05,23.6,23.5,59.6,18.5
2020-07-06,23.9,23.9,59.6,14.7
2020-07-07,22.9,23.0,61.2,16.8
2020-07-08,22.1,22.1,65.6,10.4
2020-07-09,21.9,21.9,67.8,12.0
2020-07-10,22.7,22.8,67.8,10.2
2020-07-11,24.2,23.9,59.4,18.9
2020-07-12,24.8,24.8,57.4,11.1
2020-07-13,23.5,23.7,67.6,10.3
2020-07-14,21.9,21.9,67.1,12.5
2020-07-15,21.0,21.0,66.8,12.7
2020-07-16,20.4,20.4,68.7,12.3
2020-07-17,21.0,21.0,68.2,15.9
2020-07-18,20.7,20.7,68.8,16.3
2020-07-19,20.0,20.0,70.8,23.9
2020-07-20,20.6,20.6,68.4,15.1
2020-07-21,20.7,20.7,67.7,11.0
2020-07-22,18.8,18.8,74.3,9.2
2020-07-23,19.6,19.6,68.1,12.3
2020-07-24,20.0,20.0,68.5,21.9
2020-07-25,20.0,20.0,70.7,12.0
2020-07-26,19.5,19.5,72.1,10.8
2020-07-27,19.4,19.4,71.6,16.4
2020-07-28,19.4,19.4,71.6,19.7
2020-07-29,19.5,19.5,72.8,9.4
2020-07-30,20.5,20.5,69.5,12.9
2020-07-31,23.1,23.1,59.7,16.6
2020-08-01,24.0,24.0,60.8,8.4
2020-08-02,23.0,23.2,69.8,8.9
2020-08-03,22.7,22.8,70.0,16.4
2020-08-04,21.5,21.5,72.4,10.3
2020-08-05,20.9,20.9,70.3,20.5
2020-08-06,21.1,21.1,64.4,19.0
2020-08-07,21.4,21.4,65.1,12.0
2020-08-08,20.9,20.9,66.8,15.4
2020-08-09,20.5,20.5,67.8,20.9
2020-08-10,20.0,20.0,69.7,15.6
2020-08-11,19.8,19.8,69.2,19.9
2020-08-12,21.8,21.7,61.7,10.7
2020-08-13,24.3,24.0,52.3,14.7
2020-08-14,26.5,26.3,53.9,13.4
2020-08-15,27.7,28.0,54.9,8.1
2020-08-16,27.5,27.6,57.1,11.7
2020-08-17,25.8,26.2,64.8,12.5
2020-08-18,27.2,27.7,59.6,10.0
2020-08-19,27.9,28.4,55.7,16.2
2020-08-20,26.8,27.2,61.7,11.7
2020-08-21,26.8,27.5,64.7,10.1
2020-08-22,27.7,28.0,58.9,20.1
2020-08-23,26.7,27.6,67.3,14.0
2020-08-24,23.6,23.6,75.5,13.9
2020-08-25,24.1,24.5,70.4,18.1
2020-08-26,23.7,23.9,70.3,12.5
2020-08-27,24.1,24.3,62.6,23.9
2020-08-28,22.1,22.1,66.6,9.5
2020-08-29,20.5,20.5,69.4,13.8
2020-08-30,20.5,20.5,69.2,18.5
2020-08-31,20.6,20.6,68.9,10.8
2020-09-01,21.0,21.0,67.4,20.7
2020-09-02,20.9,20.9,69.7,23.7
2020-09-03,21.9,22.0,68.6,10.5
2020-09-04,23.7,23.9,64.7,14.4
2020-09-05,28.5,28.4,50.2,10.2
2020-09-06,32.4,32.0,37.2,14.0
2020-09-07,26.8,27.3,62.4,8.8
2020-09-08,23.7,23.7,70.6,8.0
2020-09-09,23.0,23.1,67.8,11.8
2020-09-10,21.0,21.0,69.0,6.8
2020-09-11,21.8,21.6,58.3,10.0
2020-09-12,21.2,21.1,59.3,12.0
2020-09-13,21.3,21.2,66.1,10.6
2020-09-14,22.3,22.2,61.8,10.6
2020-09-15,22.6,22.5,58.6,14.2
2020-09-16,24.0,23.5,48.5,11.6
2020-09-17,23.7,23.1,46.0,17.1
